
record_index,date,datetime,level,actual_component,actual_reason,actual_root_timestamp,metric_top1,metric_top3,trace_top1,combined_top1,combined_top3,pred_reason,pred_time,feat_trace_failure_rate,feat_trace_latency,feat_calls,feat_latency,feat_failure_rate,feat_redis_rejected,feat_redis_blocked,feat_redis_clients,feat_redis_ping,metric_names
10,2020-05-23,2020-05-23 00:05:00,pod,docker_004,CPU fault,1590163500,docker_008,"[""docker_008"", ""docker_005"", ""docker_001""]",os_021,docker_004,"[""docker_004"", ""docker_008"", ""os_021""]",CPU fault,2020-05-23 00:02:11,0.0,29.96207942636514,11304.0,0.9486651008585472,0.0012384996461429765,0.0,0.0,49.68333333333333,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
11,2020-05-23,2020-05-23 00:40:00,service,db_003,db connection limit,1590165600,db_004,"[""db_004"", ""db_005"", ""db_007""]",db_001,db_004,"[""db_004"", ""db_005"", ""db_007""]",network delay,2020-05-23 00:53:25,0.005052851666860263,32.4828418764416,15455.0,0.5367407958589443,0.14687803299902946,0.0,0.0,48.925,1.0,ACS AIOS AWS Asm_Free_Tb CPU_Used_Pct CPU_free_pct Call_Per_Sec DFParaWrite_Per_Sec DbTime Exec_Per_Sec Hang LFParaWrite_Per_Sec LFSync_Per_Sec Logic_Read_Per_Sec Login_Per_Sec MEM_Total MEM_Used MEM_Used_Pct MEM_real_util New_Tbs_Free_Gb New_Tbs_Used_Pct On_Off_State PGA_Used_Pct PGA_used_total Physical_Read_Per_Sec Proc_Used_Pct Proc_User_Used_Pct Redo_Per_Sec Row_Lock SctRead_Per_Sec SeqRead_Per_Sec Sess_Active Sess_Connect Sess_Used_Temp Sess_Used_Undo Session_pct TPS_Per_Sec Tbs_Free_Gb Tbs_Used_Pct TempTbs_Pct UndoTbs_Pct User_Commit tnsping_result_time Total_Tbs_Size Used_Tbs_Size
12,2020-05-23,2020-05-23 01:16:00,node,os_021,network loss,1590167760,os_002,"[""os_002"", ""os_007"", ""os_001""]",os_001,os_002,"[""os_002"", ""os_007"", ""os_001""]",CPU fault,2020-05-23 01:29:41,0.0,33.16975810825469,15270.0,0.7416455337376259,0.0008513425016372089,0.0,0.0,49.269444444444446,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_total Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total
13,2020-05-23,2020-05-23 01:52:00,node,os_009,network loss,1590169920,os_002,"[""os_002"", ""os_007"", ""os_012""]",os_001,os_002,"[""os_002"", ""os_007"", ""os_012""]",CPU fault,2020-05-23 01:39:41,0.0,33.27268351383875,17200.0,0.6523791860473398,5.8139534883761e-05,0.0,0.0,49.77777777777778,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total Memory_total
14,2020-05-23,2020-05-23 03:36:00,node,os_021,network delay,1590176160,os_002,"[""os_002"", ""os_007"", ""os_011""]",os_001,os_002,"[""os_002"", ""os_007"", ""os_011""]",CPU fault,2020-05-23 03:59:41,0.0,24.72191206522426,10641.0,0.8245363405749089,0.0004698806503148356,0.0,0.0,49.25277777777778,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total Memory_total
15,2020-05-23,2020-05-23 04:47:00,pod,docker_006,CPU fault,1590180420,docker_008,"[""docker_008"", ""docker_001"", ""docker_002""]",os_021,docker_004,"[""docker_004"", ""docker_008"", ""docker_003""]",CPU fault,2020-05-23 04:42:10,0.0,31.541590529291415,14429.0,0.7828101531652861,0.0,0.0,0.0,49.68055555555556,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
16,2020-05-24,2020-05-24 01:47:00,service,db_007,db close,1590256020,db_005,"[""db_005"", ""db_008"", ""db_002""]",db_001,db_005,"[""db_005"", ""db_008"", ""db_002""]",network delay,2020-05-24 01:30:27,0.004642580407916683,33.79689531539341,17233.0,0.504437323739339,0.15853304706087157,0.0,0.0,48.455555555555556,1.0,ACS AIOS AWS Asm_Free_Tb CPU_Used_Pct CPU_free_pct Call_Per_Sec DFParaWrite_Per_Sec DbTime Exec_Per_Sec Hang LFParaWrite_Per_Sec LFSync_Per_Sec Logic_Read_Per_Sec Login_Per_Sec MEM_Total MEM_Used MEM_Used_Pct MEM_real_util New_Tbs_Free_Gb New_Tbs_Used_Pct On_Off_State PGA_Used_Pct PGA_used_total Physical_Read_Per_Sec Proc_Used_Pct Proc_User_Used_Pct Redo_Per_Sec Row_Lock SctRead_Per_Sec SeqRead_Per_Sec Sess_Active Sess_Connect Sess_Used_Temp Sess_Used_Undo Session_pct TPS_Per_Sec Tbs_Free_Gb Tbs_Used_Pct TempTbs_Pct UndoTbs_Pct User_Commit tnsping_result_time SEQ_Used_Pct Total_Tbs_Size Used_Tbs_Size DbFile_Used_Pct
17,2020-05-24,2020-05-24 03:17:00,pod,docker_003,CPU fault,1590261420,docker_002,"[""docker_002"", ""docker_003"", ""docker_004""]",os_021,docker_002,"[""docker_002"", ""docker_003"", ""os_021""]",CPU fault,2020-05-24 03:24:57,0.0,29.11802571248764,12133.0,0.8791030825092527,0.0004945190801944888,0.0,0.0,48.68333333333333,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
18,2020-05-24,2020-05-24 04:17:00,pod,docker_006,CPU fault,1590265020,docker_002,"[""docker_002"", ""docker_006"", ""docker_005""]",os_022,docker_002,"[""docker_002"", ""docker_006"", ""os_022""]",CPU fault,2020-05-24 04:20:47,0.0,28.962251437962202,13577.0,0.7626276644342447,7.365397363190418e-05,0.0,0.0,48.205555555555556,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
19,2020-05-25,2020-05-25 01:47:00,node,os_020,network delay,1590342420,os_011,"[""os_011"", ""os_001"", ""os_022""]",os_001,os_011,"[""os_011"", ""os_001"", ""os_022""]",CPU fault,2020-05-25 01:42:37,0.00017708926839033555,60.21293829593927,14719.0,0.9747764318549981,0.00305727291256197,0.0,0.0,48.144444444444446,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total Memory_total
20,2020-05-25,2020-05-25 03:47:00,node,os_017,network loss,1590349620,os_011,"[""os_011"", ""os_007"", ""os_012""]",os_001,os_011,"[""os_011"", ""os_007"", ""os_012""]",CPU fault,2020-05-25 03:42:37,0.0,65.34664415281769,11220.0,0.7739883511609325,0.00044563279857401383,0.0,0.0,48.16388888888889,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total Memory_total
21,2020-05-25,2020-05-25 04:47:00,service,db_003,db close,1590353220,db_011,"[""db_011"", ""db_005"", ""db_002""]",db_001,db_011,"[""db_011"", ""db_005"", ""db_002""]",network delay,2020-05-25 04:57:20,0.0,39.65585136274235,15740.0,0.6548937166454819,0.08888182973316394,0.0,0.0,48.202777777777776,1.0,ACS AIOS AWS Asm_Free_Tb CPU_Used_Pct CPU_free_pct Call_Per_Sec DFParaWrite_Per_Sec DbTime Exec_Per_Sec Hang LFParaWrite_Per_Sec LFSync_Per_Sec Logic_Read_Per_Sec Login_Per_Sec MEM_Total MEM_Used MEM_Used_Pct MEM_real_util New_Tbs_Free_Gb New_Tbs_Used_Pct On_Off_State PGA_Used_Pct PGA_used_total Physical_Read_Per_Sec Proc_Used_Pct Proc_User_Used_Pct Redo_Per_Sec Row_Lock SctRead_Per_Sec SeqRead_Per_Sec Sess_Active Sess_Connect Sess_Used_Temp Sess_Used_Undo Session_pct TPS_Per_Sec Tbs_Free_Gb Tbs_Used_Pct TempTbs_Pct UndoTbs_Pct User_Commit tnsping_result_time SEQ_Used_Pct Total_Tbs_Size Used_Tbs_Size
22,2020-05-26,2020-05-26 02:09:00,service,db_007,db connection limit,1590430140,db_004,"[""db_004"", ""db_005"", ""db_013""]",db_001,db_004,"[""db_004"", ""db_005"", ""db_013""]",network delay,2020-05-26 02:01:32,6.500306958939727e-05,22.108880141562242,15499.0,0.5914947157881167,0.0007742434995806624,0.0,0.0,49.3,1.0,ACS AIOS AWS Asm_Free_Tb CPU_Used_Pct CPU_free_pct Call_Per_Sec DFParaWrite_Per_Sec DbTime Exec_Per_Sec Hang LFParaWrite_Per_Sec LFSync_Per_Sec Logic_Read_Per_Sec Login_Per_Sec MEM_Total MEM_Used MEM_Used_Pct MEM_real_util New_Tbs_Free_Gb New_Tbs_Used_Pct On_Off_State PGA_Used_Pct PGA_used_total Physical_Read_Per_Sec Proc_Used_Pct Proc_User_Used_Pct Redo_Per_Sec Row_Lock SctRead_Per_Sec SeqRead_Per_Sec Sess_Active Sess_Connect Sess_Used_Temp Sess_Used_Undo Session_pct TPS_Per_Sec Tbs_Free_Gb Tbs_Used_Pct TempTbs_Pct Total_Tbs_Size UndoTbs_Pct Used_Tbs_Size User_Commit tnsping_result_time SEQ_Used_Pct
23,2020-05-26,2020-05-26 02:39:00,pod,docker_008,CPU fault,1590431940,docker_007,"[""docker_007"", ""docker_002"", ""docker_003""]",os_022,docker_002,"[""docker_002"", ""docker_007"", ""os_022""]",CPU fault,2020-05-26 02:43:42,0.0,47.311204683349764,12578.0,0.7756264986498933,7.950389569089111e-05,0.0,0.0,49.111111111111114,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
24,2020-05-26,2020-05-26 03:09:00,node,os_021,network delay,1590433740,os_012,"[""os_012"", ""os_001"", ""os_002""]",os_001,os_012,"[""os_012"", ""os_001"", ""os_002""]",CPU fault,2020-05-26 03:10:44,0.0,22.62442277540325,10344.0,0.8090822022480195,9.667440061866817e-05,0.0,0.0,49.475,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_total Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total
25,2020-05-26,2020-05-26 03:39:00,node,os_018,network loss,1590435540,os_012,"[""os_012"", ""os_007"", ""os_014""]",os_001,os_012,"[""os_012"", ""os_007"", ""os_014""]",CPU fault,2020-05-26 03:50:44,0.0,22.10339159554049,11196.0,0.8440027777912699,0.0008931761343337064,0.0,0.0,49.425,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total Memory_total
26,2020-05-26,2020-05-26 04:15:00,node,os_020,network delay,1590437700,os_009,"[""os_009"", ""os_012"", ""os_014""]",os_001,os_009,"[""os_009"", ""os_012"", ""os_014""]",CPU fault,2020-05-26 04:25:45,0.0002212532150857817,38.80605311920939,12030.0,1.0008262095185527,0.004239401496259343,0.0,0.0,49.44722222222222,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_total Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total
27,2020-05-26,2020-05-26 04:45:00,node,os_001,network delay,1590439500,os_009,"[""os_009"", ""os_012"", ""os_010""]",os_001,os_009,"[""os_009"", ""os_012"", ""os_010""]",CPU fault,2020-05-26 04:50:45,0.0,21.149793865576406,13298.0,0.8428933373552085,0.0,0.0,0.0,48.81944444444444,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total Memory_total
28,2020-05-26,2020-05-26 05:15:00,pod,docker_002,CPU fault,1590441300,docker_007,"[""docker_007"", ""docker_002"", ""docker_003""]",os_022,docker_002,"[""docker_002"", ""docker_007"", ""os_022""]",CPU fault,2020-05-26 05:18:53,0.0,21.7958343244529,14745.0,0.8273013157057848,0.0,0.0,0.0,49.452777777777776,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
29,2020-05-27,2020-05-27 00:23:00,node,os_018,network delay,1590510180,os_002,"[""os_002"", ""os_011"", ""os_012""]",os_001,os_002,"[""os_002"", ""os_011"", ""os_012""]",CPU fault,2020-05-27 00:19:45,3.2645954622123073e-05,32.57607051526198,10208.0,0.7787994122351499,0.00039184952978055243,0.0,0.0,50.577777777777776,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_total Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total
30,2020-05-27,2020-05-27 00:53:00,node,os_017,network delay,1590511980,os_011,"[""os_011"", ""os_018"", ""os_017""]",os_001,os_011,"[""os_011"", ""os_018"", ""os_017""]",CPU fault,2020-05-27 00:47:37,0.0,55.37616866243403,12691.0,0.7763437002667753,0.0001575919943266335,0.0,0.0,50.19444444444444,1.0,Agent_ping Buffers_used CPU_idle_pct CPU_iowait_time CPU_system_time CPU_user_time CPU_util_pct Cache_used Disk_avgqu_sz Disk_await Disk_io_util Disk_rd_ios Disk_rd_kbs Disk_svctm Disk_wr_ios Disk_wr_kbs FS_max_avail FS_max_util FS_total_space FS_used_pct FS_used_space ICMP_ping Incoming_network_traffic Memory_available Memory_available_pct Memory_free Memory_used Memory_used_pct Num_of_processes Num_of_running_processes Outgoing_network_traffic Page_pi Page_po Processor_load_15_min Processor_load_1_min Processor_load_5_min Received_errors_packets Received_packets Received_queue Recv_total Send_total Sent_errors_packets Sent_packets Sent_queue Shared_memory Swap_used_pct System_block_queue_length System_wait_queue_length Zombie_Process ss_total Memory_total
31,2020-05-27,2020-05-27 01:23:00,pod,docker_006,CPU fault,1590513780,docker_003,"[""docker_003"", ""docker_004"", ""docker_002""]",os_022,docker_003,"[""docker_003"", ""docker_002"", ""docker_004""]",CPU fault,2020-05-27 01:03:20,0.0,36.39316642075257,14492.0,0.6929702594547171,0.0,0.0,0.0,49.875,1.0,container_cpu_used container_fgc container_fgct container_mem_used container_session_used container_thread_idle container_thread_running container_thread_total container_thread_used_pct
